Lattitude	Longitude	WaveProb
51.31081	1.666667	0.9760001
51.31081	1.69697	1.014
51.31081	1.727273	1.0660001
51.31081	1.757576	1.0840001
51.31081	1.787879	1.1500001
51.31081	1.818182	1.176
51.31081	1.848485	1.21
51.31081	1.878788	1.222
51.31081	1.909091	1.2420001
51.31081	1.939394	1.258
51.31081	1.969697	1.264
51.31081	2.0	1.2700001
51.31081	2.030303	1.2700001
51.31081	2.060606	1.2720001
51.31081	2.09091	1.2780001
51.31081	2.121213	1.286
51.31081	2.151516	1.2980001
51.31081	2.181819	1.296
51.31081	2.212122	1.2900001
51.31081	2.242425	1.2800001
51.31081	2.272728	1.2780001
51.31081	2.303031	1.276
51.31081	2.333334	1.2720001
