,date,lat_bin,lon_bin,Element,Element_value,Element_dis
137320,2015-02-16,5177,210,pyrene,21.3,43.75157409877514
137321,2015-02-16,5178,211,pyrene,21.3,44.289428754841104
137322,2015-02-16,5179,212,pyrene,21.3,44.83202266411375
137323,2015-02-16,5181,213,pyrene,21.3,45.97495881096058
137324,2015-02-16,5181,219,pyrene,21.3,45.75500300961425
137325,2015-02-16,5182,217,pyrene,21.3,46.41417462930284
137326,2015-02-16,5182,216,pyrene,21.3,46.448870121173215
137327,2015-02-16,5183,215,pyrene,21.3,47.083647153944305
137328,2015-02-16,5183,216,pyrene,21.3,47.046450529408695
137329,2015-02-16,5183,213,pyrene,21.3,47.16686113564618
137330,2015-02-16,5184,212,pyrene,21.3,47.8083978158364
137331,2015-02-16,5184,214,pyrene,21.3,47.72045253519377
137332,2015-02-16,5184,213,pyrene,21.3,47.76297964194308
137333,2015-02-16,5185,210,pyrene,21.3,48.50228577980222
137334,2015-02-16,5185,211,pyrene,21.3,48.45174967583358
137335,2015-02-16,5186,211,pyrene,21.3,49.04693102931582
137336,2015-02-16,5114,258,lead,1210.0,9.58658104005153
137337,2015-02-16,5114,257,lead,1210.0,9.277553461533744
137338,2015-02-16,5114,256,lead,1210.0,8.973729851163224
137339,2015-02-16,5115,260,lead,1210.0,10.547401227173562
137340,2015-02-16,5115,259,lead,1210.0,10.239667306625673
137341,2015-02-16,5115,262,lead,1210.0,11.17561452574468
137342,2015-02-16,5116,264,lead,1210.0,12.133673847303314
137343,2015-02-16,5116,262,lead,1210.0,11.508489752932386
137344,2015-02-16,5119,211,pyrene,21.3,10.568919462047358
137345,2015-02-16,5376,735,zinc,43500.0,124.17354601687148
137346,2015-02-16,5376,733,zinc,43500.0,124.28927384799537
137347,2015-02-16,5377,750,zinc,43500.0,122.82992672478085
137348,2015-02-16,5377,749,zinc,43500.0,122.87331427786941
137349,2015-02-16,5377,734,zinc,43500.0,123.63860675418721
137350,2015-02-16,5377,741,zinc,43500.0,123.25485433154101
137351,2015-02-16,5377,754,zinc,43500.0,122.66598807372232
137352,2015-02-16,5377,753,zinc,43500.0,122.70552905181407
137353,2015-02-16,5377,743,zinc,43500.0,123.15374471917573
137354,2015-02-16,5377,739,zinc,43500.0,123.35976498473212
137355,2015-02-16,5377,735,zinc,43500.0,123.58095030701486
137356,2015-02-16,5377,746,zinc,43500.0,123.00922767719933
137357,2015-02-16,5377,744,zinc,43500.0,123.10461824643352
137358,2015-02-16,5377,756,zinc,43500.0,122.58979911362148
